working_group_name	first_convocation_no	short_working_group_name	constant_flg
Бытовые вопросы	1	Бытовые вопросы	1
Образование	1	Образование	1
Оповещение	1	Оповещение	1
Спорт и праздники	1	['Спорт', 'Праздники']	1
Трудоустройство	1	Партнёры	1
Разработка Устава и Положения	1	Разработка Устава и Положения	0
"Бытовые вопросы (сектор ""А"", экология)"	3	Бытовые вопросы	1
Праздники	3	Праздники	1
"Проблемы общежитий (сектор ""Б"", ФДС)"	3	Бытовые вопросы	1
Работа с партнёрами	3	Партнёры	1
Спорт	3	Спорт	1
Распределение стипендий	4	Распределение стипендий	0
Связи	10	Связи	1
