convocation_no	year_stream_no	year	graduated_flg
1	1.1	2012	0
1	1.2	2012	0
1	1.3	2012	0
1	2.1	2012	0
1	2.2	2012	0
1	2.3	2012	0
1	3.1	2012	0
1	3.2	2012	0
1	3.3	2012	0
1	4.1	2012	0
1	4.2	2012	0
1	4.3	2012	0
1	4.4	2012	0
1	5.1	2012	1
1	5.2	2012	1
1	5.3	2012	1
2	1.1	2012	0
2	1.2	2012	0
2	1.3	2012	0
2	2.1	2012	0
2	2.2	2012	0
2	2.3	2012	0
2	3.1	2012	0
2	3.2	2012	0
2	3.3	2012	0
2	3.4	2012	0
2	4.1	2012	0
2	4.2	2012	0
2	4.3	2012	0
2	5.1	2012	1
2	5.2	2012	1
2	5.3	2012	1
2	5.4	2012	1
2	m1	2012	0
3	1.1	2013	0
3	1.2	2013	0
3	1.3	2013	0
3	2.1	2013	0
3	2.2	2013	0
3	2.3	2013	0
3	3.1	2013	0
3	3.2	2013	0
3	3.3	2013	0
3	3.4	2013	0
3	4.1	2013	0
3	4.2	2013	0
3	4.3	2013	0
3	4.4	2013	0
3	5.1	2013	1
3	5.2	2013	1
3	5.3	2013	1
3	m1	2013	0
3	m2	2013	1
4	1.1	2014	0
4	1.2	2014	0
4	1.3	2014	0
4	2.1	2014	0
4	2.2	2014	0
4	2.3	2014	0
4	3.1	2014	0
4	3.2	2014	0
4	3.3	2014	0
4	3.4	2014	0
4	4.1	2014	0
4	4.2	2014	0
4	4.3	2014	0
4	4.4	2014	0
4	5.1	2014	1
4	5.2	2014	1
4	5.3	2014	1
4	m1	2014	0
4	m2	2014	1
5	1.1	2015	0
5	1.2	2015	0
5	1.3	2015	0
5	2.1	2015	0
5	2.2	2015	0
5	2.3	2015	0
5	3.1	2015	0
5	3.2	2015	0
5	3.3	2015	0
5	4.1	2015	0
5	4.2	2015	0
5	4.3	2015	0
5	5.1	2015	1
5	5.2	2015	1
5	5.3	2015	1
5	m1	2015	0
5	m2	2015	1
6	1.1	2016	0
6	1.2	2016	0
6	1.3	2016	0
6	2.1	2016	0
6	2.2	2016	0
6	2.3	2016	0
6	3.1	2016	0
6	3.2	2016	0
6	3.3	2016	0
6	3.4	2016	0
6	4.1	2016	0
6	4.2	2016	0
6	4.3	2016	0
6	5.1	2016	0
6	5.2	2016	0
6	5.3	2016	0
6	5.4	2016	0
6	m1	2016	0
6	m2	2016	1
7	1.1	2017	0
7	1.3	2017	0
7	2.1	2017	0
7	2.2	2017	0
7	2.3	2017	0
7	3.1	2017	0
7	3.3	2017	0
7	4.1	2017	0
7	4.2	2017	0
7	4.3	2017	0
7	4.4	2017	0
7	5.1	2017	0
7	5.2	2017	0
7	5.3	2017	0
7	6.2	2017	1
7	6.3	2017	1
7	6.4	2017	1
8	1.1	2018	0
8	1.2	2018	0
8	1.3	2018	0
8	2.1	2018	0
8	2.3	2018	0
8	3.1	2018	0
8	3.2	2018	0
8	3.3	2018	0
8	3.4	2018	0
8	4.1	2018	0
8	4.2	2018	0
8	4.3	2018	0
8	5.3	2018	0
8	5.4	2018	0
8	6.1	2018	1
8	6.2	2018	1
8	m1	2018	0
9	1.1	2019	0
9	1.2	2019	0
9	1.3	2019	0
9	2.1	2019	0
9	2.2	2019	0
9	2.3	2019	0
9	3.1	2019	0
9	3.2	2019	0
9	3.3	2019	0
9	3.4	2019	0
9	4.1	2019	0
9	4.3	2019	0
9	4.4	2019	0
9	5.1	2019	0
9	5.2	2019	0
9	6.3	2019	1
9	6.4	2019	1
9	m1	2019	0
9	m2	2019	1
10	1.1	2020	0
10	1.2	2020	0
10	1.3	2020	0
10	2.1	2020	0
10	2.2	2020	0
10	2.3	2020	0
10	3.1	2020	0
10	3.2	2020	0
10	3.3	2020	0
10	3.4	2020	0
10	4.1	2020	0
10	4.2	2020	0
10	4.3	2020	0
10	4.4	2020	0
10	5.1	2020	0
10	5.4	2020	0
10	6.1	2020	1
10	6.3	2020	1
10	m2	2020	1
11	1.1	2021	0
11	1.2	2021	0
11	1.3	2021	0
11	2.1	2021	0
11	2.2	2021	0
11	2.3	2021	0
11	2.5	2021	0
11	3.1	2021	0
11	3.2	2021	0
11	3.3	2021	0
11	3.4	2021	0
11	3.5	2021	0
11	4.3	2021	0
11	5.2	2021	0
11	5.3	2021	0
11	5.4	2021	0
11	6.1	2021	1
11	6.3	2021	1
11	m1	2021	0
