year_stream_no	classic_year_no	year_no	stream_no	course_level	specialization	short_specialization
1.1	1	1	1	Младшие курсы	Фундаментальная математика	Математика
1.2	1	1	2	Младшие курсы	Фундаментальная математика	Математика
1.3	1	1	3	Младшие курсы	Фундаментальная механика	Механика
2.1	2	2	1	Младшие курсы	Фундаментальная математика	Математика
2.2	2	2	2	Младшие курсы	Фундаментальная математика	Математика
2.3	2	2	3	Младшие курсы	Фундаментальная механика	Механика
2.5	2	2	5	Младшие курсы	Фундаментальная математика и математическая физика	ФММФ
3.1	3	3	1	Старшие курсы	Фундаментальная математика	Математика
3.2	3	3	2	Старшие курсы	Фундаментальная математика	Математика
3.3	3	3	3	Старшие курсы	Фундаментальная механика	Механика
3.4	3	3	4	Старшие курсы	Математика и экономическая теория	Эконом
3.5	3	3	5	Старшие курсы	Фундаментальная математика и математическая физика	ФММФ
4.1	4	4	1	Старшие курсы	Фундаментальная математика	Математика
4.2	4	4	2	Старшие курсы	Фундаментальная математика	Математика
4.3	4	4	3	Старшие курсы	Фундаментальная механика	Механика
4.4	4	4	4	Старшие курсы	Математика и экономическая теория	Эконом
5.1	5	5	1	Старшие курсы	Фундаментальная математика	Математика
5.2	5	5	2	Старшие курсы	Фундаментальная математика	Математика
5.3	5	5	3	Старшие курсы	Фундаментальная механика	Механика
5.4	5	5	4	Старшие курсы	Математика и экономическая теория	Эконом
6.1	6	6	1	Старшие курсы	Фундаментальная математика	Математика
6.2	6	6	2	Старшие курсы	Фундаментальная математика	Математика
6.3	6	6	3	Старшие курсы	Фундаментальная механика	Механика
6.4	6	6	4	Старшие курсы	Математика и экономическая теория	Эконом
m1	m1	1	0	Старшие курсы	Магистратура	Магистратура
m2	m2	2	0	Старшие курсы	Магистратура	Магистратура
