convocation_no	position	name
1	Председатель	Котляров Никита Владимирович
2	Председатель	Сапунов Кирилл Вячеславович
3	Председатель	Матвеев Алексей Викторович
4	Председатель	Глунчадзе Ираклий Вахтангович
5	Председатель	Бекбулатов Рамзан Ломалиевич
6	Председатель	Денисов Илья Олегович
7	Председатель	Тонконогов Александр Владиславович
8	Председатель	Сенотов Валерий Дмитриевич
9	Председатель	Клюев Андрей Игоревич
10	Председатель	Малиновский Георгий Андреевич
11	Председатель	Малиновский Георгий Андреевич
1	Заместитель председателя	Асташов Дмитрий Сергеевич
2	Заместитель председателя	Попов Леонид Андреевич
3	Заместитель председателя	Быстрицкая Василина Васильевна
4	Заместитель председателя	Быстрицкая Василина Васильевна
5	Заместитель председателя	Денисов Илья Олегович
6	Заместитель председателя	Бекбулатов Рамзан Ломалиевич
7	Заместитель председателя	Сенотов Валерий Дмитриевич
8	Заместитель председателя	Хахова Мария Алексеевна
9	Заместитель председателя	Фенелонов Даниил Игоревич
10	Заместитель председателя	Шишков Александр Александрович
11	Заместитель председателя	Дехнич Кирилл Андреевич
1	Секретарь	Тропин Александр Михайлович
2	Секретарь	Тропин Александр Михайлович
3	Секретарь	Дяченко Мария Игоревна
4	Секретарь	Дяченко Мария Игоревна
5	Секретарь	Савин Павел Андреевич
6	Секретарь	Чернова Анна Александровна
7	Секретарь	Кудасов Матвей Джамалханович
8	Секретарь	Малиновский Георгий Андреевич
9	Секретарь	Попова Анна Романовна
10	Секретарь	Мельникова Дарья Владимировна
11	Секретарь	Мельникова Дарья Владимировна
1	Первый представитель в Студсовете МГУ	Котляров Никита Владимирович
2	Первый представитель в Студсовете МГУ	Сапунов Кирилл Вячеславович
3	Первый представитель в Студсовете МГУ	Матвеев Алексей Викторович
4	Первый представитель в Студсовете МГУ	Глунчадзе Ираклий Вахтангович
5	Первый представитель в Студсовете МГУ	Бекбулатов Рамзан Ломалиевич
6	Первый представитель в Студсовете МГУ	Денисов Илья Олегович
7	Первый представитель в Студсовете МГУ	Тонконогов Александр Владиславович
8	Первый представитель в Студсовете МГУ	Сенотов Валерий Дмитриевич
9	Первый представитель в Студсовете МГУ	Клюев Андрей Игоревич
10	Первый представитель в Студсовете МГУ	Сулейкин Аллан Олегович
11	Первый представитель в Студсовете МГУ	Дехнич Кирилл Андреевич
1	Второй представитель в Студсовете МГУ	Савушкин Никита Максимович
2	Второй представитель в Студсовете МГУ	Тропин Александр Михайлович
3	Второй представитель в Студсовете МГУ	Сапунов Кирилл Вячеславович
4	Второй представитель в Студсовете МГУ	Матвеев Алексей Викторович
5	Второй представитель в Студсовете МГУ	Шведов Константин Анатольевич
6	Второй представитель в Студсовете МГУ	Бекбулатов Рамзан Ломалиевич
7	Второй представитель в Студсовете МГУ	Денисов Илья Олегович
8	Второй представитель в Студсовете МГУ	Денисов Илья Олегович
9	Второй представитель в Студсовете МГУ	Кухарчук Иван Андреевич
10	Второй представитель в Студсовете МГУ	Третьяков Пётр Максимович
11	Второй представитель в Студсовете МГУ	Третьяков Пётр Максимович
1	Первый заместитель представителей в Студсовете МГУ	Тропин Александр Михайлович
2	Первый заместитель представителей в Студсовете МГУ	Осин Руслан Владимирович
3	Первый заместитель представителей в Студсовете МГУ	Осин Руслан Владимирович
4	Первый заместитель представителей в Студсовете МГУ	Митькина Мария Александровна
5	Первый заместитель представителей в Студсовете МГУ	Морозов Сергей Сергеевич
6	Первый заместитель представителей в Студсовете МГУ	Семенюк Павел Игоревич
7	Первый заместитель представителей в Студсовете МГУ	Сенотов Валерий Дмитриевич
8	Первый заместитель представителей в Студсовете МГУ	Тонконогов Александр Владиславович
9	Первый заместитель представителей в Студсовете МГУ	Малахов Николай Сергеевич
10	Первый заместитель представителей в Студсовете МГУ	Кухарчук Иван Андреевич
1	Второй заместитель представителей в Студсовете МГУ	Владыкина Вероника Евгеньевна
2	Второй заместитель представителей в Студсовете МГУ	Ватутин Кирилл Александрович
3	Второй заместитель представителей в Студсовете МГУ	Ватутин Кирилл Александрович
4	Второй заместитель представителей в Студсовете МГУ	Шведов Константин Анатольевич
5	Второй заместитель представителей в Студсовете МГУ	Суркова Анастасия Юрьевна
6	Второй заместитель представителей в Студсовете МГУ	Корж Даниил Сергеевич
7	Второй заместитель представителей в Студсовете МГУ	Корж Даниил Сергеевич
8	Второй заместитель представителей в Студсовете МГУ	Малахов Николай Сергеевич
10	Второй заместитель представителей в Студсовете МГУ	Скурихин Дмитрий Андреевич
1	Представитель в Учёном совете мехмата	Владыкина Вероника Евгеньевна
2	Представитель в Учёном совете мехмата	Владыкина Вероника Евгеньевна
9	Представитель в Учёном совете мехмата	Третьяков Пётр Максимович
10	Представитель в Учёном совете мехмата	Клюев Андрей Игоревич
11	Представитель в Учёном совете мехмата	Чуб Вячеслав Валериевич
